Folder	CrystalPredictor_Ulatt(kJ/mol)	CrystalPredictor_Density(g/cm3)
935	-53.0587	1.1583
936	-53.0573	1.1462
937	-53.0516	1.2279
938	-53.0375	1.2530
939	-53.0372	1.1289
940	-53.0352	1.2763
941	-53.0351	1.2557
942	-53.0346	1.0576
943	-53.0204	0.7267
944	-53.0200	1.2098
945	-53.0193	0.6496
946	-53.0193	0.6057
947	-53.0193	0.5221
948	-53.0187	0.4331
949	-53.0187	0.2995
950	-53.0153	1.2447
951	-53.0093	1.0295
952	-53.0086	1.1675
953	-52.9993	1.2751
954	-52.9982	1.2199
955	-52.9863	1.2590
956	-52.9659	1.1604
957	-52.9637	1.2468
958	-52.9599	1.2182
959	-52.9585	0.9863
960	-52.9514	1.0615
961	-52.9500	1.0616
962	-52.9457	1.2031
963	-52.9208	1.2495
964	-52.8847	1.0596
965	-52.8821	1.0595
966	-52.8805	1.2122
967	-52.8805	1.1519
968	-52.8549	1.2829
969	-52.8548	1.2280
970	-52.8471	1.2604
971	-52.8451	1.1759
972	-52.8357	1.2392
973	-52.8340	1.1524
974	-52.8307	1.2689
975	-52.8277	1.2848
976	-52.8267	1.3047
977	-52.8255	1.1634
978	-52.8234	1.2391
979	-52.8222	1.1644
980	-52.8190	1.1864
981	-52.8097	1.2297
982	-52.8090	1.2153
983	-52.8089	1.1813
984	-52.7866	1.2285
985	-52.7852	1.3161
986	-52.7850	1.2067
987	-52.7835	1.2224
988	-52.7791	1.1224
989	-52.7785	0.6276
990	-52.7777	0.5036
991	-52.7777	0.4038
992	-52.7777	0.3681
993	-52.7777	0.3178
994	-52.7645	1.1154
995	-52.7637	1.2745
996	-52.7438	1.0656
997	-52.7253	1.2007
998	-52.7212	1.1984
999	-52.7186	1.1434
1000	-52.7167	0.6258
1001	-52.7157	1.1736
1002	-52.7147	0.5353
1003	-52.7147	0.4778
1004	-52.7147	0.4425
1005	-52.7147	0.3931
1006	-52.7147	0.3395
1007	-52.7147	0.2559
1008	-52.7145	0.3141
1009	-52.7110	1.1697
1010	-52.7085	1.1761
1011	-52.6997	1.0058
1012	-52.6706	1.1932
1013	-52.6702	1.2256
1014	-52.6690	1.2181
1015	-52.6500	1.2974
1016	-52.6488	1.1983
1017	-52.6448	1.2654
1018	-52.6397	1.2653
1019	-52.6390	1.1787
1020	-52.6357	1.1920
1021	-52.6230	1.1774
1022	-52.5977	1.1745
1023	-52.5941	1.2008
1024	-52.5889	1.1731
1025	-52.5877	1.2197
1026	-52.5767	1.1950
1027	-52.5746	1.1892
1028	-52.5739	1.2660
1029	-52.5730	1.2660
1030	-52.5575	1.2626
1031	-52.5552	0.7210
1032	-52.5543	0.5795
1033	-52.5542	0.4759
1034	-52.5540	0.6201
1035	-52.5539	0.5062
1036	-52.5533	1.1558
1037	-52.5508	1.0198
1038	-52.5499	0.3765
1039	-52.5206	1.1813
1040	-52.5053	1.2278
1041	-52.5023	1.2382
1042	-52.4999	1.1684
1043	-52.4886	1.1763
1044	-52.4875	1.1943
1045	-52.4719	1.2197
1046	-52.4696	1.1377
1047	-52.4612	1.2030
1048	-52.4582	1.2125
1049	-52.4543	1.1756
1050	-52.4533	1.1800
1051	-52.4529	1.3223
